time,open,high,low,close,Volume,Open,High,Low,Close,Volume
2020-04-07,6.90768815,6.93135315,6.40947768,6.45257289,784521880,6.90768815,6.93135315,6.40947768,6.45257289,784521880
2020-04-08,6.56168098,6.67477476,6.49168241,6.64986423,542444520,6.56168098,6.67477476,6.49168241,6.64986423,542444520
2020-04-09,6.77566238,6.79858006,6.48719851,6.55022214,526247800,6.77566238,6.79858006,6.48719851,6.55022214,526247800
2020-04-13,6.49043688,6.73082343,6.40200452,6.72210475,398407280,6.49043688,6.73082343,6.40200452,6.72210475,398407280
2020-04-14,6.85039395,7.10747055,6.82272583,7.07334313,530946680,6.85039395,7.10747055,6.82272583,7.07334313,530946680
2020-04-15,6.9051971,7.07875121,6.85985995,6.9958714,366148840,6.9051971,7.07875121,6.85985995,6.9958714,366148840
2020-04-16,7.15131307,7.44824651,7.13811049,7.34113126,745620400,7.15131307,7.44824651,7.13811049,7.34113126,745620400
2020-04-17,7.42333599,7.44475904,7.1478256,7.28184421,539121960,7.42333599,7.44475904,7.1478256,7.28184421,539121960
2020-04-20,7.15529875,7.31123863,7.10622502,7.15056575,449388200,7.15529875,7.31123863,7.10622502,7.15056575,449388200
2020-04-21,7.03248987,7.09376976,6.65384992,6.71363517,735159840,7.03248987,7.09376976,6.65384992,6.71363517,735159840
2020-04-22,6.90594441,7.17099238,6.86035816,7.12814628,484729120,6.90594441,7.17099238,6.86035816,7.12814628,484729120
2020-04-23,7.17024507,7.30220857,7.04967813,7.07483776,424159520,7.17024507,7.30220857,7.04967813,7.07483776,424159520
2020-04-24,7.06462445,7.21583133,6.98989288,7.21383848,352645480,7.06462445,7.21583133,6.98989288,7.21383848,352645480
2020-04-27,7.34835531,7.56034386,7.32369389,7.4004183,479387960,7.34835531,7.56034386,7.32369389,7.4004183,479387960
2020-04-28,7.5478886,7.57778123,7.25244979,7.25793011,442904120,7.5478886,7.57778123,7.25244979,7.25793011,442904120
2020-04-29,7.39269604,7.48760514,7.31746626,7.43479483,379161880,7.39269604,7.48760514,7.31746626,7.43479483,379161880
2020-04-30,7.38080376,7.43479483,7.2668979,7.28084779,375917720,7.38080376,7.43479483,7.2668979,7.28084779,375917720
2020-05-01,7.08330734,7.19665022,6.99595112,7.04419782,342097800,7.08330734,7.19665022,6.99595112,7.04419782,342097800
2020-05-04,6.99686782,7.26988716,6.99686782,7.25606182,317555200,6.99686782,7.26988716,6.99686782,7.25606182,317555200
2020-05-05,7.36031236,7.47988287,7.25618637,7.31721716,368895640,7.36031236,7.47988287,7.25618637,7.31721716,368895640
2020-05-06,7.39668173,7.52297808,7.35881773,7.41810478,323465560,7.39668173,7.52297808,7.35881773,7.41810478,323465560
2020-05-07,7.5573546,7.65774401,7.50611366,7.59447128,373730520,7.5573546,7.65774401,7.50611366,7.59447128,373730520
2020-05-08,7.66621359,7.79076621,7.63233528,7.78453858,339907120,7.66621359,7.79076621,7.63233528,7.78453858,339907120
2020-05-11,7.77955647,8.08346486,7.75090937,8.03663307,469060160,7.77955647,8.08346486,7.75090937,8.03663307,469060160
2020-05-12,8.09442549,8.14325011,7.76485926,7.77457437,493059280,8.09442549,8.14325011,7.76485926,7.77457437,493059280
2020-05-13,7.88916277,8.04958655,7.56756792,7.7521549,625850080,7.88916277,8.04958655,7.56756792,7.7521549,625850080
2020-05-14,7.81355934,8.00723866,7.65998596,8.00175834,602312360,7.81355934,8.00723866,7.65998596,8.00175834,602312360
2020-05-15,7.86151209,8.47007618,7.84581846,8.46036108,987661720,7.86151209,8.47007618,7.84581846,8.46036108,987661720
2020-05-18,8.72914562,8.88458729,8.64943444,8.71893231,776403440,8.72914562,8.88458729,8.64943444,8.71893231,776403440
2020-05-19,8.75878915,9.05497527,8.73138757,8.77398457,717321960,8.75878915,9.05497527,8.73138757,8.77398457,717321960
2020-05-20,8.95882065,9.01063454,8.85693661,8.93789581,587536200,8.95882065,9.01063454,8.85693661,8.93789581,587536200
2020-05-21,9.01910412,9.02000588,8.70622794,8.74384283,761069640,9.01910412,9.02000588,8.70622794,8.74384283,761069640
2020-05-22,8.79366388,9.06045559,8.68206474,8.99394449,1038765000,8.79366388,9.06045559,8.68206474,8.99394449,1038765000
2020-05-26,9.12397742,9.14888794,8.64096237,8.68654863,770779040,9.12397742,9.14888794,8.64096237,8.68654863,770779040
2020-05-27,8.59413059,8.60185285,7.96812913,8.4947376,1175892240,8.59413059,8.60185285,7.96812913,8.4947376,1175892240
2020-05-28,8.38214203,8.72914562,8.34926014,8.4566245,736128160,8.38214203,8.72914562,8.34926014,8.4566245,736128160
2020-05-29,8.52388291,8.84373403,8.45463166,8.84373403,745919760,8.52388291,8.84373403,8.45463166,8.84373403,745919760
2020-06-01,8.80163525,8.8091084,8.65839974,8.77473188,390511000,8.80163525,8.8091084,8.65839974,8.77473188,390511000
2020-06-02,8.76476767,8.80562093,8.62701248,8.79366388,391320560,8.76476767,8.80562093,8.62701248,8.79366388,391320560
2020-06-03,8.79067462,8.83451714,8.66886216,8.73811341,365438880,8.79067462,8.83451714,8.66886216,8.73811341,365438880
2020-06-04,8.70073061,8.91530809,8.65038839,8.73911032,424278400,8.70073061,8.91530809,8.65038839,8.73911032,424278400
2020-06-05,8.76702284,8.96889016,8.68077316,8.89213073,481746040,8.76702284,8.96889016,8.68077316,8.89213073,481746040
2020-06-08,8.8495143,8.86185063,8.65861261,8.77749003,387737240,8.8495143,8.86185063,8.65861261,8.77749003,387737240
2020-06-09,8.77250565,9.08128539,8.72390797,9.01773706,468488840,8.77250565,9.08128539,8.72390797,9.01773706,468488840
2020-06-10,9.13910667,9.4703186,9.12490119,9.33748493,632181480,9.13910667,9.4703186,9.12490119,9.33748493,632181480
2020-06-11,9.12141213,9.23231454,8.7585494,8.76876737,583650240,9.12141213,9.23231454,8.7585494,8.76876737,583650240
2020-06-12,9.13387308,9.15854575,8.67615264,8.90459168,570908160,9.13387308,9.15854575,8.67615264,8.90459168,570908160
2020-06-15,8.78770801,9.15356137,8.7164314,9.14508793,400002160,8.78770801,9.15356137,8.7164314,9.14508793,400002160
2020-06-16,9.1961778,9.23779736,8.81113708,9.04016676,535715000,9.1961778,9.23779736,8.81113708,9.04016676,535715000
2020-06-17,9.08527539,9.2699466,9.0419113,9.20714343,408305640,9.08527539,9.2699466,9.0419113,9.20714343,408305640
2020-06-18,9.19817155,9.25349815,9.08602304,9.18919967,254409520,9.19817155,9.25349815,9.08602304,9.18919967,254409520
2020-06-19,9.21362313,9.41549044,9.198508,9.23231454,524160520,9.21362313,9.41549044,9.198508,9.23231454,524160520
2020-06-22,9.27094348,9.50147097,9.2443269,9.49698503,398466480,9.27094348,9.50147097,9.2443269,9.49698503,398466480
2020-06-23,9.52115926,9.61237338,9.37810761,9.42047482,375107400,9.52115926,9.61237338,9.37810761,9.42047482,375107400
2020-06-24,9.44664281,9.52652245,9.1159343,9.206645,449370880,9.44664281,9.52652245,9.1159343,9.206645,449370880
2020-06-25,9.32651929,9.47530298,9.15356137,9.46034985,376072000,9.32651929,9.47530298,9.15356137,9.46034985,376072000
2020-06-26,9.4703186,9.4703186,9.09649024,9.12639651,592085760,9.4703186,9.4703186,9.09649024,9.12639651,592085760
2020-06-29,9.14110042,9.17574185,8.87219322,9.17125591,342248120,9.14110042,9.17574185,8.87219322,9.17125591,342248120
2020-06-30,9.28489226,9.49648659,9.23755063,9.46807563,367892000,9.28489226,9.49648659,9.23755063,9.46807563,367892000
2020-07-01,9.49100377,9.54575468,9.38359042,9.50022487,326646800,9.49100377,9.54575468,9.38359042,9.50022487,326646800
2020-07-02,9.60888432,9.70707657,9.54832412,9.5822179,364054080,9.60888432,9.70707657,9.54832412,9.5822179,364054080
